Wife.ID,Hus.ID,WifeSellDummy,Still_BF_dum,TimeToMkt_Recode,DistMeg_Recode,AlloP,Father
00057,00141,0,0,1,1,0,0
00056,00140,0,0,1,1,2,0
00055,00139,1,0,1,1,1,0
00054,00138,0,0,1,1,2,0
00053,00137,0,0,1,1,0,0
00052,00136,0,0,1,1,0,0
00051,00135,0,1,1,1,0,0
00050,00134,0,0,1,1,1,0
00049,00133,0,1,1,1,1,0
00048,00132,0,0,1,1,1,0
00047,00131,0,0,1,1,1,0
00046,00130,0,0,1,1,0,0
00045,00129,0,0,1,1,0,0
00044,00128,0,0,1,1,0,0
00043,00127,0,0,1,1,1,0
00042,00126,1,0,0,0,0,0
00041,00125,0,1,0,0,1,0
00040,00124,1,0,0,0,1,1
00039,00123,1,0,0,0,1,1
00038,00122,0,1,0,0,0,0
00037,00121,0,0,0,0,0,0
00036,00120,0,1,0,0,0,0
00035,00119,0,0,0,0,0,0
00034,00118,0,0,0,0,0,0
00033,00117,1,0,0,0,1,0
00032,00116,1,0,0,0,2,1
00031,00115,0,0,0,0,0,0
00030,00114,1,0,0,0,0,0
00029,00113,1,0,0,0,0,1
00028,00112,1,0,0,0,2,1
00027,00111,1,0,0,0,1,1
00026,00110,1,0,0,0,0,0
00025,00109,1,1,0,0,1,0
00024,00108,1,1,0,0,2,1
00023,00107,0,0,0,0,0,0
00022,00106,1,0,0,0,0,0
00021,00105,1,1,0,0,2,1
00020,00104,1,0,0,0,1,0
00019,00103,0,0,0,0,0,0
00018,00102,0,1,0,0,0,0
00017,00101,0,1,0,0,0,0
00016,00100,0,0,1,0,0,0
00015,00099,0,1,1,0,0,0
00014,00098,0,0,1,1,0,0
00013,00097,0,1,1,1,1,0
00012,00096,0,1,1,1,0,0
00011,00095,0,1,1,1,1,0
00010,00094,0,1,1,1,0,0
00009,00093,0,0,1,1,1,0
00008,00092,1,0,0,0,1,0
00007,00091,0,0,0,0,0,0
00006,00090,0,1,0,0,0,0
00005,00089,1,0,0,0,1,0
00004,00088,1,0,0,0,0,0
00003,00087,1,0,0,0,0,0
00002,00086,1,0,0,0,1,1
00001,00085,1,1,0,0,2,1