IndividualID,SpouseID,Day,Female.Dummy,Profit,Occupation
00141,00057,1,0,700,1
00141,00057,2,0,1800,1
00141,00057,3,0,2700,1
00141,00057,4,0,300,1
00141,00057,5,0,400,1
00141,00057,6,0,300,1
00057,00141,1,1,700,1
00057,00141,2,1,1800,1
00057,00141,3,1,2700,1
00057,00141,4,1,300,1
00057,00141,5,1,400,1
00057,00141,6,1,300,1
00142,,1,1,300,1
00142,,2,1,200,1
00142,,3,1,400,1
00140,00056,1,0,500,1
00140,00056,2,0,0,1
00140,00056,3,0,450,1
00140,00056,4,0,600,1
00140,00056,5,0,1000,1
00140,00056,6,0,600,1
00140,00056,7,0,800,1
00140,00056,8,0,0,1
00140,00056,9,0,800,1
00139,00055,1,0,0,1
00139,00055,2,0,1500,1
00139,00055,3,0,3000,1
00139,00055,4,0,300,1
00139,00055,5,0,1000,1
00139,00055,6,0,300,1
00055,00139,1,1,150,2
00055,00139,2,1,300,2
00055,00139,3,1,150,2
00055,00139,4,1,200,2
00138,00054,1,0,2400,1
00138,00054,2,0,700,1
00138,00054,3,0,800,1
00138,00054,4,0,750,1
00138,00054,5,0,400,1
00138,00054,6,0,300,1
00138,00054,7,0,300,1
00138,00054,8,0,900,1
00137,00053,1,0,400,1
00137,00053,2,0,0,1
00137,00053,3,0,200,1
00137,00053,4,0,500,1
00137,00053,5,0,640,1
00053,00137,1,1,400,1
00053,00137,2,1,0,1
00053,00137,3,1,200,1
00053,00137,4,1,500,1
00053,00137,5,1,640,1
00136,00052,1,0,500,1
00136,00052,2,0,1200,1
00136,00052,3,0,1300,1
00136,00052,4,0,500,1
00136,00052,5,0,1100,1
00136,00052,6,0,700,1
00136,00052,7,0,400,1
00136,00052,8,0,450,1
00136,00052,9,0,900,1
00136,00052,10,0,170,1
00136,00052,11,0,600,1
00052,00136,1,1,500,1
00052,00136,2,1,1100,1
00052,00136,3,1,700,1
00052,00136,4,1,900,1
00052,00136,5,1,170,1
00052,00136,6,1,600,1
00135,00051,1,0,370,1
00135,00051,2,0,3000,1
00135,00051,3,0,0,1
00135,00051,4,0,1500,1
00135,00051,5,0,400,1
00135,00051,6,0,2400,1
00135,00051,7,0,680,1
00051,00135,1,1,370,1
00051,00135,2,1,400,1
00051,00135,3,1,2400,1
00051,00135,4,1,680,1
00134,00050,1,0,800,1
00134,00050,2,0,1000,1
00134,00050,3,0,1500,1
00050,00134,1,1,800,1
00050,00134,2,1,1000,1
00050,00134,3,1,1500,1
00133,00049,1,0,0,1
00133,00049,2,0,150,1
00133,00049,3,0,220,1
00049,00133,1,1,0,1
00049,00133,2,1,1180,1
00049,00133,3,1,150,1
00049,00133,4,1,0,1
00049,00133,5,1,220,1
00049,00133,6,1,0,1
00132,00048,1,0,600,1
00132,00048,2,0,200,1
00132,00048,3,0,400,1
00048,00132,1,1,600,1
00048,00132,2,1,200,1
00048,00132,3,1,400,1
00131,00047,1,0,800,1
00131,00047,2,0,400,1
00131,00047,3,0,500,1
00131,00047,4,0,100,1
00131,00047,5,0,300,1
00047,00131,1,1,800,1
00047,00131,2,1,400,1
00047,00131,3,1,300,1
00047,00131,4,1,800,1
00047,00131,5,1,400,1
00130,00046,1,0,250,1
00130,00046,2,0,600,1
00130,00046,3,0,500,1
00130,00046,4,0,380,1
00130,00046,5,0,0,1
00130,00046,6,0,150,1
00046,00130,1,1,250,1
00046,00130,2,1,600,1
00046,00130,3,1,500,1
00046,00130,4,1,380,1
00046,00130,5,1,0,1
00046,00130,6,1,150,1
00129,00045,1,1,360,1
00129,00045,2,1,450,1
00129,00045,3,1,270,1
00129,00045,4,1,600,1
00129,00045,5,1,300,1
00129,00045,6,1,0,1
00045,00129,1,0,360,1
00045,00129,2,0,450,1
00045,00129,3,0,270,1
00045,00129,4,0,600,1
00045,00129,5,0,300,1
00045,00129,6,0,0,1
00128,00044,1,0,150,1
00128,00044,2,0,525,1
00128,00044,3,0,700,1
00044,00128,1,1,150,1
00044,00128,2,1,525,1
00044,00128,3,1,700,1
00043,00159,1,0,1000,1
00126,00042,1,0,350,1
00126,00042,2,0,650,1
00126,00042,3,0,540,1
00126,00042,4,0,1125,1
00126,00042,5,0,900,1
00042,00126,1,1,400,2
00042,00126,2,1,400,2
00042,00126,3,1,400,2
00143,00160,1,0,50,1
00143,00160,2,0,50,1
00143,00160,3,0,50,1
00125,00041,1,0,340,1
00125,00041,2,0,1900,1
00124,00040,1,0,290,1
00124,00040,2,0,750,1
00124,00040,3,0,470,1
00124,00040,4,0,800,1
00124,00040,5,0,300,1
00124,00040,6,0,200,1
00040,00124,1,1,300,2
00040,00124,2,1,20,2
00040,00124,3,1,50,2
00040,00124,4,1,300,2
00040,00124,5,1,400,2
00040,00124,6,1,0,2
00144,,2,1,250,2
00144,,3,1,300,2
00144,,4,1,500,2
00144,,5,1,0,2
00123,00039,1,0,800,1
00123,00039,2,0,0,1
00123,00039,3,0,200,1
00123,00039,4,0,400,1
00123,00039,5,0,800,1
00123,00039,6,0,400,1
00039,00123,1,1,700,2
00039,00123,2,1,900,2
00039,00123,3,1,400,2
00122,00038,1,0,250,1
00121,00037,1,0,360,1
00121,00037,2,0,720,1
00121,00037,3,0,590,1
00121,00037,4,0,320,1
00121,00037,5,0,500,1
00121,00037,6,0,300,1
00037,00121,1,1,275,1
00037,00121,2,1,720,1
00037,00121,3,1,590,1
00037,00121,4,1,320,1
00119,00035,1,0,300,1
00119,00035,2,0,300,1
00119,00035,3,0,300,1
00118,00034,1,0,800,1
00118,00034,2,0,800,1
00118,00034,3,0,400,1
00118,00034,4,0,1800,1
00118,00034,5,0,500,1
00118,00034,6,0,400,1
00118,00034,7,0,600,1
00033,00117,1,1,150,2
00033,00117,2,1,150,2
00033,00117,3,1,150,2
00145,00146,1,0,550,1
00146,00145,1,1,450,2
00146,00145,2,1,450,2
00146,00145,3,1,450,2
00116,00032,1,0,1200,1
00116,00032,2,0,1200,1
00116,00032,3,0,1200,1
00116,00032,4,0,1200,1
00116,00032,5,0,1200,1
00116,00032,6,0,1200,1
00116,00032,7,0,900,1
00116,00032,8,0,900,1
00116,00032,9,0,900,1
00032,00116,1,1,400,2
00032,00116,2,1,500,2
00032,00116,3,1,500,2
00032,00116,4,1,480,2
00032,00116,5,1,310,2
00115,00031,1,0,150,1
00115,00031,2,0,200,1
00115,00031,3,0,1000,1
00115,00031,4,0,900,1
00115,00031,5,0,600,1
00031,00115,1,1,1000,1
00031,00115,2,1,900,1
00031,00115,3,1,600,1
00031,00115,4,1,150,1
00031,00115,5,1,200,1
00147,00148,2,0,380,1
00147,00148,3,0,240,1
00147,00148,4,0,240,1
00148,00147,1,1,0,1
00148,00147,2,1,380,1
00148,00147,3,1,240,1
00148,00147,4,1,240,1
00149,00161,1,0,150,1
00149,00161,3,0,650,1
00114,00030,1,0,900,1
00114,00030,2,0,600,1
00114,00030,3,0,400,1
00030,00114,1,1,350,2
00030,00114,2,1,320,2
00030,00114,3,1,240,2
00030,00114,4,1,500,2
00030,00114,5,1,600,2
00150,00160,1,0,250,1
00150,00160,1,0,900,1
00150,00160,2,0,300,1
00150,00160,2,0,1800,1
00150,00160,3,0,1000,1
00113,00029,1,0,150,1
00113,00029,2,0,100,1
00113,00029,3,0,150,1
00112,00028,1,0,1000,1
00112,00028,2,0,550,1
00112,00028,3,0,1030,1
00029,00113,1,1,200,2
00029,00113,2,1,-400,2
00029,00113,3,1,-50,2
00028,00112,1,1,180,2
00028,00112,2,1,170,2
00028,00112,3,1,250,2
00111,00027,1,0,1200,1
00111,00027,2,0,600,1
00111,00027,3,0,500,1
00111,00027,4,0,600,1
00111,00027,5,0,700,1
00027,00111,1,1,440,2
00027,00111,2,1,640,2
00027,00111,3,1,500,2
00027,00111,4,1,300,2
00027,00111,5,1,800,2
00110,00026,1,0,320,1
00110,00026,2,0,450,1
00110,00026,3,0,380,1
00110,00026,4,0,500,1
00110,00026,5,0,600,1
00110,00026,6,0,550,1
00026,00110,1,1,-500,2
00026,00110,2,1,-500,2
00026,00110,3,1,0,2
00109,00109,1,0,1200,1
00109,00109,2,0,1200,1
00109,00109,3,0,1200,1
00109,00109,4,0,350,1
00109,00109,5,0,350,1
00109,00109,6,0,350,1
00109,00109,7,0,1050,1
00109,00109,8,0,1050,1
00109,00109,9,0,1050,1
00109,00109,10,0,2200,1
00109,00109,11,0,2200,1
00109,00109,12,0,2200,1
00109,00025,1,0,1200,1
00109,00025,2,0,1200,1
00109,00025,3,0,1200,1
00109,00025,4,0,350,1
00109,00025,5,0,350,1
00109,00025,6,0,350,1
00109,00025,7,0,1050,1
00109,00025,8,0,1050,1
00109,00025,9,0,1050,1
00109,00025,10,0,2200,1
00109,00025,11,0,2200,1
00109,00025,12,0,2200,1
00025,00109,1,1,150,2
00025,00109,2,1,175,2
00025,00109,3,1,0,2
00025,00109,4,1,150,2
00025,00109,5,1,175,2
00025,00109,6,1,0,2
00025,00109,7,1,150,2
00025,00109,8,1,175,2
00025,00109,9,1,0,2
00025,00109,11,1,175,2
00025,00109,12,1,0,2
00025,00109,13,1,150,2
00108,00024,1,0,300,1
00108,00024,3,0,400,1
00024,00108,1,1,0,2
00024,00108,2,1,250,2
00107,00023,1,0,1530,1
00107,00023,2,0,1710,1
00107,00023,3,0,1710,1
00023,00107,1,1,1530,1
00023,00107,2,1,1710,1
00023,00107,3,1,1710,1
00151,,1,0,0,1
00151,,2,0,950,1
00151,,3,0,1900,1
00151,,4,0,900,1
00151,,5,0,500,1
00152,,1,1,300,2
00152,,2,1,800,2
00106,00022,1,0,200,1
00106,00022,2,0,750,1
00106,00022,3,0,370,1
00106,00022,4,0,750,1
00105,00021,1,0,500,1
00105,00021,2,0,500,1
00105,00021,3,0,400,1
00022,00106,1,1,400,2
00022,00106,2,1,-100,2
00022,00106,3,1,500,2
00022,00106,4,1,-300,2
00022,00106,5,1,200,2
00021,00105,1,1,550,2
00021,00105,2,1,800,2
00021,00105,3,1,-600,2
00021,00105,4,1,1250,2
00104,00020,1,0,500,1
00104,00020,2,0,0,1
00104,00020,3,0,270,1
00104,00020,4,0,410,1
00020,00104,1,1,550,2
00020,00104,2,1,400,2
00103,00019,1,0,280,1
00103,00019,2,0,280,1
00103,00019,3,0,700,1
00019,00103,1,1,280,1
00019,00103,2,1,280,1
00019,00103,3,1,900,1
00019,00103,4,1,700,1
00102,00018,1,0,360,1
00102,00018,2,0,630,1
00102,00018,3,0,750,1
00102,00018,4,0,350,1
00102,00018,5,0,510,1
00101,00017,1,0,720,1
00101,00017,2,0,300,1
00101,00017,3,0,700,1
00153,00159,1,1,200,2
00153,00159,2,1,400,2
00153,00159,3,1,400,2
00018,00102,4,1,350,1
00018,00102,5,1,510,1
00098,00014,1,0,300,1
00098,00014,2,0,700,1
00098,00014,3,0,1200,1
00014,00098,1,1,300,1
00014,00098,2,1,700,1
00014,00098,3,1,1200,1
00154,00098,1,1,470,1
00154,00098,2,1,500,1
00154,00098,3,1,600,1
00097,00013,1,0,1680,1
00097,00013,2,0,1800,1
00097,00013,3,0,1800,1
00013,00097,1,1,1680,1
00013,00097,2,1,1800,1
00013,00097,3,1,1800,1
00096,00012,1,0,1500,1
00096,00012,2,0,700,1
00096,00012,3,0,500,1
00096,00012,4,0,1200,1
00012,00096,1,1,700,1
00012,00096,2,1,500,1
00012,00096,3,1,1200,1
00155,00096,1,1,350,2
00155,00096,2,1,800,2
00155,00096,3,1,-50,2
00095,00162,1,0,0,1
00095,00162,2,0,2400,1
00095,00162,3,0,0,1
00156,00095,1,1,0,1
00156,00095,2,1,2400,1
00156,00095,3,1,0,1
00094,00010,1,0,2500,1
00094,00010,2,0,700,1
00094,00010,3,0,400,1
00094,00010,4,0,200,1
00094,00010,5,0,720,1
00094,00010,6,0,900,1
00010,00094,1,1,200,1
00010,00094,2,1,720,1
00010,00094,3,1,900,1
00093,00009,1,0,700,1
00093,00009,2,0,1500,1
00093,00009,3,0,500,1
00009,00093,1,1,700,1
00009,00093,2,1,1500,1
00009,00093,3,1,500,1
00092,00008,1,0,550,1
00092,00008,2,0,200,1
00092,00008,3,0,300,1
00092,00008,4,0,200,1
00092,00008,5,0,280,1
00008,00092,1,1,100,2
00008,00092,2,1,220,2
00008,00092,3,1,440,2
00008,00092,4,1,-60,2
00091,00007,1,0,300,1
00091,00007,2,0,400,1
00090,00006,1,0,300,1
00090,00006,2,0,500,1
00089,00005,1,0,300,1
00089,00005,2,0,600,1
00089,00005,3,0,500,1
00005,00089,1,1,500,2
00005,00089,2,1,-600,2
00005,00089,3,1,350,2
00088,00004,1,0,400,1
00088,00004,2,0,500,1
00088,00004,3,0,250,1
00004,00088,1,1,250,2
00004,00088,2,1,0,2
00004,00088,3,1,0,2
00087,00003,1,0,550,1
00087,00003,2,0,200,1
00087,00003,3,0,130,1
00003,00087,1,1,2000,2
00003,00087,2,1,-500,2
00003,00087,3,1,300,2
00086,00002,1,0,500,1
00086,00002,2,0,500,1
00086,00002,3,0,500,1
00157,00158,1,0,200,1
00157,00158,2,0,200,1
00157,00158,3,0,200,1
00085,00001,1,0,400,1
00085,00001,2,0,500,1
00085,00001,3,0,450,1
00001,00085,1,1,0,2
00001,00085,2,1,300,2
00001,00085,3,1,-50,2